Feature,Gradient_Boosting,Permutation
sleep_efficiency,0.38544841046279577,0.15371241966263405
motivation_effect,0.10637868121409814,0.06171985166588296
focus_ratio,0.0995759920613459,0.07306707009582869
engagement_score,0.09093724174687945,0.09806870255905202
study_hours_per_day,0.06469843089654764,0.0064553825305592024
sleep_hours,0.06254836518920034,0.07239259749592215
mental_health_status_Poor,0.05700411844103143,0.06703435157204737
balance_score,0.02264650525973527,0.005282446499366733
distraction_ratio,0.02136535965642322,0.005023195575958635
mental_health_status_Good,0.015559568354468457,0.018991313521722508
gaming_hours,0.012210996841465063,0.012735724338492061
health_score,0.011822528743271936,0.020396984501678973
motivation_level,0.011486714139634587,0.008695041771046907
smartphone_usage_hours,0.01095473286656547,0.010518034162404873
screen_per_study_hour,0.006500794507927338,0.0013013468853480907
assignment_completion_percent,0.006442318218206911,0.0007730967343793601
class_attendance_percent,0.005281757020218859,0.0009453762964919473
mental_pressure,0.005252948863673523,-0.0005420200630582979
study_efficiency,0.0038845355165108186,0.0005669058843415731
